Year,Month,Temp,Rain,ETP,C_inp,FYM,PC,DPM_RPM
2022,1,7.7,52.4,40.4,0.03,0.0,1,0.13
2022,2,9.3,55.8,63.3,0.72,0.0,1,0.13
2022,3,11.9,70.5,113.2,0.18,0.0,1,0.13
2022,4,14.5,78.3,150.3,4.36,0.0,1,0.13
2022,5,19.1,51.7,220.1,0.18,0.0,1,0.13
2022,6,24.1,23.9,278.0,0.09,0.0,1,0.13
2022,7,28.0,15.2,324.2,0.09,0.0,1,0.13
2022,8,27.7,23.5,277.1,0.09,0.0,1,0.13
2022,9,22.6,41.6,172.3,0.02,0.0,1,0.13
2022,10,17.9,36.0,112.7,0.02,0.0,1,0.13
2022,11,11.5,65.8,56.2,0.02,1.04,1,0.13
2022,12,8.8,21.7,38.3,0.03,0.0,1,0.13
